Fecha_Registro;Sede;Cliente;Convenio;Prestación;DescripcionExamen;Área;Cantidad;Monto Neto
2025-01-01;Santiago Centro;Particular;Particular;END-001;TSH;Endocrinología;5;41931
2025-01-01;Santiago Centro;Particular;Particular;KIN-001;Electrocardiograma;Cardiología;7;91678
2025-01-01;Santiago Centro;Particular;Particular;QUI-005;Creatinina;Química Clínica;5;22385
2025-01-01;Santiago Centro;Isapre Andina;Isapre;IMG-001;Radiografía de tórax;Imagenología;7;116947
2025-01-01;Santiago Centro;Particular;Particular;IMG-002;Ecografía abdominal;Imagenología;10;337347
2025-01-01;Santiago Centro;Colegio San Martín;Empresa;QUI-004;Perfil hepático;Química Clínica;5;49281
2025-01-01;Santiago Centro;Logística del Sur S.A.;Empresa;INM-001;Vitamina D;Inmunología;3;39038
2025-01-01;Santiago Centro;Fonasa;Institucional;INM-002;PCR ultrasensible;Inmunología;9;72356
2025-01-01;Providencia;Isapre Cumbre;Isapre;IMG-001;Radiografía de tórax;Imagenología;11;175246
2025-01-01;Providencia;Particular;Particular;GEN-001;Test PCR respiratorio;Biología Molecular;11;277146
2025-01-01;Providencia;Colegio San Martín;Empresa;IMG-002;Ecografía abdominal;Imagenología;6;185097
2025-01-01;Providencia;Minera Norte SpA;Empresa;QUI-001;Perfil bioquímico;Química Clínica;7;95045
2025-01-01;Providencia;Colegio San Martín;Empresa;INM-003;Panel alergias;Inmunología;5;141067
2025-01-01;Las Condes;Fonasa;Institucional;QUI-005;Creatinina;Química Clínica;4;18737
2025-01-01;Las Condes;Particular;Particular;GEN-001;Test PCR respiratorio;Biología Molecular;2;48162
2025-01-01;Las Condes;Isapre Cumbre;Isapre;QUI-004;Perfil hepático;Química Clínica;3;31926
2025-01-01;Las Condes;Isapre Cumbre;Isapre;END-001;TSH;Endocrinología;7;54581
2025-01-01;Las Condes;Colegio San Martín;Empresa;HEM-002;Perfil de coagulación;Hematología;6;64263
2025-01-01;Las Condes;Particular;Particular;QUI-005;Creatinina;Química Clínica;7;33530
2025-01-01;Las Condes;Isapre Andina;Isapre;TOM-001;Toma de muestra domicilio;Servicios;4;26124
2025-01-01;Las Condes;Municipalidad Demo;Institucional;MIC-002;Coprocultivo;Microbiología;10;104143
2025-01-01;Las Condes;Particular;Particular;KIN-001;Electrocardiograma;Cardiología;4;53246
2025-01-01;Las Condes;Seguro Vida Austral;Seguro;INM-003;Panel alergias;Inmunología;5;141026
2025-01-01;Maipú;Fonasa;Institucional;HEM-002;Perfil de coagulación;Hematología;6;77086
2025-01-01;Maipú;Particular;Particular;QUI-004;Perfil hepático;Química Clínica;7;77655
2025-01-01;Maipú;Fonasa;Institucional;MIC-002;Coprocultivo;Microbiología;3;32494
2025-01-01;Maipú;Centro Deportivo Cordillera;Empresa;HEM-001;Hemograma completo;Hematología;5;40666
2025-01-01;Maipú;Minera Norte SpA;Empresa;GEN-001;Test PCR respiratorio;Biología Molecular;5;107808
2025-01-01;Maipú;Particular;Particular;QUI-004;Perfil hepático;Química Clínica;1;12035
2025-01-01;Viña del Mar;Particular;Particular;ORI-001;Orina completa;Orina;6;30548
2025-01-01;Viña del Mar;Isapre Andina;Isapre;GEN-001;Test PCR respiratorio;Biología Molecular;2;43857
2025-01-01;Viña del Mar;Particular;Particular;INM-002;PCR ultrasensible;Inmunología;6;48103
2025-01-01;Viña del Mar;Isapre Andina;Isapre;HEM-001;Hemograma completo;Hematología;2;15818
2025-01-01;Viña del Mar;Fonasa;Institucional;QUI-002;Perfil lipídico;Química Clínica;12;121500
2025-01-01;Valparaíso;Fonasa;Institucional;HEM-002;Perfil de coagulación;Hematología;6;71265
2025-01-01;Valparaíso;Minera Norte SpA;Empresa;QUI-001;Perfil bioquímico;Química Clínica;10;137387
2025-01-01;Valparaíso;Isapre Andina;Isapre;QUI-003;Glicemia;Química Clínica;9;33429
2025-01-01;Concepción;Particular;Particular;IMG-003;Mamografía;Imagenología;4;119668
2025-01-01;Concepción;Isapre Cumbre;Isapre;QUI-005;Creatinina;Química Clínica;7;28939
2025-01-01;Concepción;Fonasa;Institucional;GEN-002;Panel genético básico;Biología Molecular;4;232407
2025-01-01;Concepción;Particular;Particular;END-001;TSH;Endocrinología;3;24962
2025-01-01;Concepción;Particular;Particular;IMG-001;Radiografía de tórax;Imagenología;6;108535
2025-01-01;Antofagasta;Isapre Andina;Isapre;END-001;TSH;Endocrinología;7;52683
2025-01-01;Antofagasta;Fonasa;Institucional;END-002;Perfil tiroideo;Endocrinología;6;102503
2025-01-01;Antofagasta;Particular;Particular;QUI-003;Glicemia;Química Clínica;5;21160
2025-01-01;Antofagasta;Particular;Particular;MIC-003;Test rápido Streptococo;Microbiología;1;8349
2025-01-02;Santiago Centro;Fonasa;Institucional;MIC-001;Urocultivo;Microbiología;7;63827
2025-01-02;Santiago Centro;Colegio San Martín;Empresa;HEM-002;Perfil de coagulación;Hematología;2;20947
2025-01-02;Santiago Centro;Fonasa;Institucional;INM-001;Vitamina D;Inmunología;1;15862
